model;params_tried;best_params;ACC;Precision;Recall;F1;ROC;Jaccard;model_path
XGBClassifier;{'nthread': [4], 'objective': ['binary:logistic'], 'learning_rate': [0.05], 'max_depth': [4, 5, 6, 7], 'min_child_weight': [1, 5, 10, 11], 'subsample': [0.6, 0.8, 1.0], 'colsample_bytree': [0.6, 0.7, 1.0], 'n_estimators': [5, 50, 100], 'missing': [-999], 'seed': [1337]};{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'missing': -999, 'n_estimators': 100, 'nthread': 4, 'objective': 'binary:logistic', 'seed': 1337, 'subsample': 0.8};0.9275;0.5934065934065934;0.9700598802395209;0.7363636363636364;0.946300002925064;0.5827338129496403;model/XGBClassifier_2.pkl
RandomForestClassifier;{'n_estimators': array([ 10,  25,  41,  56,  72,  87, 103, 118, 134, 150]), 'criterion': ['gini', 'entropy'], 'max_depth': [7, 9, 11, 13, None], 'max_features': ['log2', 'sqrt', None], 'class_weight': [None, 'balanced']};{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 134};0.93875;0.6385542168674698;0.9520958083832335;0.7644230769230768;0.9446452524121332;0.6186770428015564;model/RandomForestClassifier_2.pkl
BaggingClassifier;{'n_estimators': [10, 20, 30, 50, 100], 'max_samples': [0.05, 0.1, 0.2, 0.5]};{'max_samples': 0.5, 'n_estimators': 100};0.921875;0.575;0.9640718562874252;0.7203579418344519;0.9405146441241732;0.5629370629370629;model/BaggingClassifier_3.pkl
GradientBoostingClassifier;[{'n_estimators': [10, 20, 30, 50, 100], 'max_depth': [7, 9, 11, 13, None], 'criterion': ['friedman_mse', 'mse'], 'loss': ['log_loss', 'exponential']}, {'loss': ['log_loss'], 'n_estimators': [100, 200, 300], 'learning_rate': [0.1, 0.05, 0.01, 0.001], 'max_depth': [4, 8, 16], 'min_samples_leaf': [100, 150, 250], 'max_features': [0.3, 0.1]}];{'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 16, 'max_features': 0.3, 'min_samples_leaf': 150, 'n_estimators': 300};0.941875;0.6541666666666667;0.9401197604790419;0.7714987714987714;0.941099656931775;0.628;model/GradientBoostingClassifier_3.pkl
