model;features;ACC;Precision;Recall;F1;ROC;Jaccard
MLPClassifier;all;0.946875;0.7887323943661971;0.6706586826347305;0.7249190938511327;0.8248617907242041;0.5685279187817259
MLPClassifier;selected;0.92;0.7191011235955056;0.38323353293413176;0.5000000000000001;0.6828938076394314;0.3333333333333333

